SYS_SCH,ENROLLMENT,ENROLLMENT_PCT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_PCT,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_PCT,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_PCT,INCIDENTS_PER_STUDENT_STATEMENT
Lanier County – Lanier County Middle School,417,9,Lanier County Middle School's enrollment is in the 9th percentile of all Georgia schools.,129,30.9,91,Lanier County Middle School's percentage of students with discipline incidents is in the 91st percentile of all Georgia schools.,375,72,Lanier County Middle School's total number of discipline incidents is in the 72nd percentile of all Georgia schools.,0.899,93,Lanier County Middle School's incidents per student rate is in the 93rd percentile of all Georgia schools.
Lanier County – Lanier County Elementary School,486,15,Lanier County Elementary School's enrollment is in the 15th percentile of all Georgia schools.,109,22.4,78,Lanier County Elementary School's percentage of students with discipline incidents is in the 78th percentile of all Georgia schools.,229,60,Lanier County Elementary School's total number of discipline incidents is in the 60th percentile of all Georgia schools.,0.471,74,Lanier County Elementary School's incidents per student rate is in the 74th percentile of all Georgia schools.
Lanier County – Lanier County High School,475,14,Lanier County High School's enrollment is in the 14th percentile of all Georgia schools.,159,33.5,94,Lanier County High School's percentage of students with discipline incidents is in the 94th percentile of all Georgia schools.,387,73,Lanier County High School's total number of discipline incidents is in the 73rd percentile of all Georgia schools.,0.815,91,Lanier County High School's incidents per student rate is in the 91st percentile of all Georgia schools.
Lanier County – Lanier County Primary School,625,31,Lanier County Primary School's enrollment is in the 31st percentile of all Georgia schools.,76,12.2,53,Lanier County Primary School's percentage of students with discipline incidents is in the 53rd percentile of all Georgia schools.,147,47,Lanier County Primary School's total number of discipline incidents is in the 47th percentile of all Georgia schools.,0.235,51,Lanier County Primary School's incidents per student rate is in the 51st percentile of all Georgia schools.
Laurens County – Southwest Laurens Elementary,1152,80,Southwest Laurens Elementary's enrollment is in the 80th percentile of all Georgia schools.,107,9.3,43,Southwest Laurens Elementary's percentage of students with discipline incidents is in the 43rd percentile of all Georgia schools.,228,60,Southwest Laurens Elementary's total number of discipline incidents is in the 60th percentile of all Georgia schools.,0.198,46,Southwest Laurens Elementary's incidents per student rate is in the 46th percentile of all Georgia schools.
Laurens County – East Laurens Primary School,629,31,East Laurens Primary School's enrollment is in the 31st percentile of all Georgia schools.,76,12.1,53,East Laurens Primary School's percentage of students with discipline incidents is in the 53rd percentile of all Georgia schools.,155,49,East Laurens Primary School's total number of discipline incidents is in the 49th percentile of all Georgia schools.,0.246,53,East Laurens Primary School's incidents per student rate is in the 53rd percentile of all Georgia schools.
Laurens County – East Laurens Elementary School,680,37,East Laurens Elementary School's enrollment is in the 37th percentile of all Georgia schools.,55,8.1,39,East Laurens Elementary School's percentage of students with discipline incidents is in the 39th percentile of all Georgia schools.,125,42,East Laurens Elementary School's total number of discipline incidents is in the 42nd percentile of all Georgia schools.,0.184,44,East Laurens Elementary School's incidents per student rate is in the 44th percentile of all Georgia schools.
Laurens County – West Laurens High School,1286,85,West Laurens High School's enrollment is in the 85th percentile of all Georgia schools.,312,24.3,82,West Laurens High School's percentage of students with discipline incidents is in the 82nd percentile of all Georgia schools.,813,90,West Laurens High School's total number of discipline incidents is in the 90th percentile of all Georgia schools.,0.632,84,West Laurens High School's incidents per student rate is in the 84th percentile of all Georgia schools.
Laurens County – East Laurens High School,577,25,East Laurens High School's enrollment is in the 25th percentile of all Georgia schools.,212,36.7,96,East Laurens High School's percentage of students with discipline incidents is in the 96th percentile of all Georgia schools.,526,81,East Laurens High School's total number of discipline incidents is in the 81st percentile of all Georgia schools.,0.912,93,East Laurens High School's incidents per student rate is in the 93rd percentile of all Georgia schools.
Laurens County – Northwest Laurens Elementary,1007,72,Northwest Laurens Elementary's enrollment is in the 72nd percentile of all Georgia schools.,74,7.3,36,Northwest Laurens Elementary's percentage of students with discipline incidents is in the 36th percentile of all Georgia schools.,153,48,Northwest Laurens Elementary's total number of discipline incidents is in the 48th percentile of all Georgia schools.,0.152,39,Northwest Laurens Elementary's incidents per student rate is in the 39th percentile of all Georgia schools.
Laurens County – East Laurens Middle School,550,22,East Laurens Middle School's enrollment is in the 22nd percentile of all Georgia schools.,142,25.8,84,East Laurens Middle School's percentage of students with discipline incidents is in the 84th percentile of all Georgia schools.,405,74,East Laurens Middle School's total number of discipline incidents is in the 74th percentile of all Georgia schools.,0.736,88,East Laurens Middle School's incidents per student rate is in the 88th percentile of all Georgia schools.
Laurens County – West Laurens Middle School,1023,73,West Laurens Middle School's enrollment is in the 73rd percentile of all Georgia schools.,241,23.6,81,West Laurens Middle School's percentage of students with discipline incidents is in the 81st percentile of all Georgia schools.,652,86,West Laurens Middle School's total number of discipline incidents is in the 86th percentile of all Georgia schools.,0.637,84,West Laurens Middle School's incidents per student rate is in the 84th percentile of all Georgia schools.
Lee County – Lee County Middle School,855,60,Lee County Middle School's enrollment is in the 60th percentile of all Georgia schools.,187,21.9,77,Lee County Middle School's percentage of students with discipline incidents is in the 77th percentile of all Georgia schools.,493,79,Lee County Middle School's total number of discipline incidents is in the 79th percentile of all Georgia schools.,0.577,80,Lee County Middle School's incidents per student rate is in the 80th percentile of all Georgia schools.
